time, N, S, E, V, K, coverage
4383.0,64856,47928,33,16895,65961.07100591713,0.26050018502528677
4414.0,65011,48716,29,16266,66171.05917159755,0.2502038116626417
4442.0,65188,49475,24,15689,66366.047337278,0.2406731300239308
4473.0,65344,50266,29,15049,66576.03550295845,0.230304236043095
4503.0,65491,50977,30,14484,66781.02366863929,0.2211601594112168
4534.0,65712,48861,46,16805,66999.01183431954,0.2557371560749939
4564.0,65816,46280,51,19485,67213.00000000003,0.29605263157894735
4595.0,66146,43052,38,23056,67418.98816568035,0.34856227133915885
4626.0,66528,43433,47,23048,67636.97633136073,0.34644059644059644
4656.0,66610,43592,48,22970,67851.96449704126,0.3448431166491518
4687.0,66843,43894,46,22903,68068.9526627219,0.3426387205840552
4717.0,66967,44850,50,22067,68281.9368836292,0.3295205101019905
4748.0,67119,45905,48,21166,68503.92504930972,0.3153503478895693
4779.0,67280,46847,50,20383,68719.91321499007,0.3029577883472057
4807.0,67569,47857,46,19666,68928.90138067049,0.2910506297266498
4838.0,67840,48862,49,18929,69146.88954635101,0.27902417452830186
4868.0,68119,49861,44,18214,69360.87771203175,0.26738501739602755
4899.0,68353,50796,42,17515,69586.86587771216,0.25624332509180286
4929.0,68553,50509,55,17989,69802.85404339254,0.26241010604933407
4960.0,68911,46803,44,22064,70029.83826429956,0.3201811031620496
4991.0,69169,47953,36,21180,70256.82642998034,0.3062065376107794
5021.0,69429,47759,25,21645,70478.81459566078,0.3117573348312665
5052.0,69667,46086,19,23562,70706.80276134123,0.33820890809134885
5082.0,69897,44148,15,25734,70931.78698224857,0.36817030773852955
