detection,sim,mcc,majority,cutoff,tree_type,nobs
0.89,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.98,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.93,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.91,44,0,0,0.95,Random sample,3007
0.95,44,0,0,0.95,Random sample,3007
0.92,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.94,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.96,44,0,0,0.95,Random sample,3007
0.97,44,0,0,0.95,Random sample,3007
0.97,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.93,48,0,0,0.95,Random sample,3008
0.98,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.91,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.97,48,0,0,0.95,Random sample,3008
0.97,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.97,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.92,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.97,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.93,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.98,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.95,48,0,0,0.95,Random sample,3008
0.94,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
0.97,48,0,0,0.95,Random sample,3008
0.96,48,0,0,0.95,Random sample,3008
