"distance","right_censored","ID"
778.686566313579,1,3502
1363.65412082628,1,3600
1363.65412082628,1,3600
924.235681361392,1,3624
102.335260338757,1,3683
518.378025028568,0,3727
518.378025028568,0,3727
518.378025028568,0,3727
518.336051036516,0,3727
518.336051036516,0,3727
518.336051036516,0,3727
498.039687033229,1,3781
498.039687033229,1,3781
1884.10514674616,0,3782
1884.10514674616,0,3782
1884.10514674616,0,3782
1368.43950588786,0,3849
482.84729647816,0,3857
482.84729647816,0,3857
482.84729647816,0,3857
482.84729647816,0,3857
482.84729647816,0,3857
664.904385080183,0,3857
664.904385080183,0,3857
843.62752671629,0,3857
843.62752671629,0,3857
843.62752671629,0,3857
843.62752671629,0,3857
671.621182784711,0,3857
640.911586979816,0,3857
640.911586979816,0,3857
660.987224483747,0,3857
595.978575616694,0,3857
595.978575616694,0,3857
136.997494278756,0,3857
455.110486204654,0,3857
455.067287192872,0,3857
409.6139672109,1,3875
1110.51350518921,0,3912
1110.51350518921,0,3912
1110.51350518921,0,3912
1110.52970154766,0,3912
2150.39581494685,0,3945
2150.39581494685,0,3945
523.205618404554,1,3954
523.258588393894,1,3954
523.258588393894,1,3954
523.258588393894,1,3954
523.258588393894,1,3954
523.258588393894,1,3954
523.258588393894,1,3954
1609.80494035742,1,3954
1609.80494035742,1,3954
184.559670768082,1,3988
1510.47994371557,0,3995
1014.65127587506,1,4017
354.40897655401,0,4030
987.875357645052,0,4030
987.875357645052,0,4030
961.937834150876,0,4030
961.937834150876,0,4030
653.688735962268,0,4030
653.688735962268,0,4030
515.275347014263,0,4037
920.535419143485,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
920.5364274633,1,4079
602.647843477869,1,4118
886.922686273401,0,4131
685.684037903402,1,4147
980.352343029036,0,4159
980.352343029036,0,4159
980.352343029036,0,4159
902.403264648771,0,4159
798.85176307482,0,4159
798.85176307482,0,4159
850.113316803418,1,4182
850.113316803418,1,4182
661.072987450619,0,4198
661.072987450619,0,4198
608.262900389005,1,4457
608.262900389005,1,4457
555.926419174154,1,4457
555.926419174154,1,4457
1194.69654214985,1,4470
1194.69654214985,1,4470
