caseID,ParentID,popID,popName,dogCount,dogsE,dogsV,Th,Td,dogDensityK,dayGenerated,serialInterval,dayInfectious,infectiousPeriod,x_coord,y_coord,strainID,typeOfCase,nExcursions,nDistinctDogs,diedE,nAbandonments,nBitesE,nBitesV,nReinfections,nFailedTransmissions,nTransmissions,Symptoms.started,Month.symptoms.started,Quarter.symptoms.started
2421,0,0,0,0,0,0,-1,-1,0,-1,0,1612,0,690794.676776067,9812959.65714707,59,INCURSION,0,0,0,0,0,0,0,0,0,2006-06-01,0,0
2432,0,0,0,0,0,0,-1,-1,0,-1,0,837,0,689958.889667668,9816665.65486316,60,INCURSION,0,0,0,0,0,0,0,0,0,2004-04-17,0,0
2530,0,0,0,0,0,0,-1,-1,0,-1,0,1444,0,671631.914590532,9820237.99474197,61,INCURSION,0,0,0,0,0,0,0,0,0,2005-12-15,0,0
2618,0,0,0,0,0,0,-1,-1,0,-1,0,1948,0,685653.368653476,9797151.656531,62,INCURSION,0,0,0,0,0,0,0,0,0,2007-05-03,0,0
2650,0,0,0,0,0,0,-1,-1,0,-1,0,226,0,678132.586221133,9819216.50876173,63,INCURSION,0,0,0,0,0,0,0,0,0,2002-08-15,0,0
2679,0,0,0,0,0,0,-1,-1,0,-1,0,1548,0,660349.046533368,9797314.14793764,64,INCURSION,0,0,0,0,0,0,0,0,0,2006-03-29,0,0
2809,0,0,0,0,0,0,-1,-1,0,-1,0,1818,0,663412.558014589,9828831.42500775,65,INCURSION,0,0,0,0,0,0,0,0,0,2006-12-24,0,0
2829,0,0,0,0,0,0,-1,-1,0,-1,0,1851,0,669113.08219161,9831029.69422731,66,INCURSION,0,0,0,0,0,0,0,0,0,2007-01-26,0,0
2998,0,0,0,0,0,0,-1,-1,0,-1,0,1991,0,670509.40765663,9794596.70325178,67,INCURSION,0,0,0,0,0,0,0,0,0,2007-06-15,0,0
3042,0,0,0,0,0,0,-1,-1,0,-1,0,1669,0,682726.347641307,9819037.19658076,68,INCURSION,0,0,0,0,0,0,0,0,0,2006-07-28,0,0
3072,0,0,0,0,0,0,-1,-1,0,-1,0,2011,0,658256.306505326,9790442.30621528,69,INCURSION,0,0,0,0,0,0,0,0,0,2007-07-05,0,0
3116,0,0,0,0,0,0,-1,-1,0,-1,0,2093,0,667404.467618532,9793905.97508027,70,INCURSION,0,0,0,0,0,0,0,0,0,2007-09-25,0,0
3178,0,0,0,0,0,0,-1,-1,0,-1,0,1871,0,641522.157100856,9796944.30210469,71,INCURSION,0,0,0,0,0,0,0,0,0,2007-02-15,0,0
3179,0,0,0,0,0,0,-1,-1,0,-1,0,830,0,643357.390880043,9798100.38727702,72,INCURSION,0,0,0,0,0,0,0,0,0,2004-04-10,0,0
3243,0,0,0,0,0,0,-1,-1,0,-1,0,499,0,660520.545174621,9814392.53898321,73,INCURSION,0,0,0,0,0,0,0,0,0,2003-05-15,0,0
3449,0,0,0,0,0,0,-1,-1,0,-1,0,1826,0,662016.074715069,9815016.35619579,74,INCURSION,0,0,0,0,0,0,0,0,0,2007-01-01,0,0
3481,0,0,0,0,0,0,-1,-1,0,-1,0,2195,0,652633.423989649,9825289.74782698,75,INCURSION,0,0,0,0,0,0,0,0,0,2008-01-05,0,0
3494,0,0,0,0,0,0,-1,-1,0,-1,0,1642,0,641414.330681165,9823296.28519258,76,INCURSION,0,0,0,0,0,0,0,0,0,2006-07-01,0,0
3496,0,0,0,0,0,0,-1,-1,0,-1,0,1077,0,639667.836872478,9821989.54205777,77,INCURSION,0,0,0,0,0,0,0,0,0,2004-12-13,0,0
3502,0,0,0,0,0,0,-1,-1,0,-1,0,1506,0,650321.593693837,9780714.68862635,78,INCURSION,0,0,0,0,0,0,0,0,0,2006-02-15,0,0
